tweet_id,retweet_count,favorite_count
857263160327368704,3911,17821
857214891891077121,16,199
857062103051644929,142,0
857029823797047296,3442,16660
856543823941562368,2504,14412
856526610513747968,1621,10521
856288084350160898,15,475
856282028240666624,5478,24615
855862651834028034,21,299
855860136149123072,843,4300
855857698524602368,1818,10544
855851453814013952,15693,40356
855818117272018944,4719,23642
855459453768019968,7186,26437
855245323840757760,5169,0
855138241867124737,36,0
854732716440526848,5265,20168
854482394044301312,5923,25898
854365224396361728,4069,16729
854120357044912130,6476,28383
854010172552949760,2750,14390
853760880890318849,5039,25373
853639147608842240,8718,30793
853299958564483072,3117,13760
852936405516943360,1763,0
852912242202992640,1563,8017
852672615818899456,1875,13246
852553447878664193,3064,14501
852311364735569921,8709,29534
852226086759018497,5972,17839
852189679701164033,1399,10264
851591660324737024,3070,14553
851464819735769094,6193,21681
851224888060895234,5070,18536
850753642995093505,7969,27442
850380195714523136,2291,11726
850333567704068097,300,3106
850145622816686080,3337,14642
850019790995546112,4298,18273
849776966551130114,6700,27185
849668094696017920,4362,0
849412302885593088,2785,14284
849336543269576704,1658,10252
849051919805034497,7487,37876
848690551926992896,3866,22588
848324959059550208,4085,22221
848213670039564288,636,7324
848212111729840128,2669,14621
847978865427394560,2861,0
847971574464610304,385,0
847962785489326080,4493,21196
847842811428974592,1172,4899
847617282490613760,372,6271
847606175596138505,3032,16901
847251039262605312,3847,18449
847157206088847362,5146,17842
847116187444137987,2829,19303
846874817362120707,3497,18159
846514051647705089,10209,40054
846505985330044928,2712,12680
846153765933735936,8018,28403
846139713627017216,8989,28029
846042936437604353,2541,14426
845812042753855489,7739,26323
845677943972139009,4307,22776
845397057150107648,1589,6898
845306882940190720,4772,21072
845098359547420673,6823,0
844979544864018432,2288,12366
844973813909606400,2806,13593
844580511645339650,2773,14858
844223788422217728,1962,12371
843981021012017153,2656,13750
843856843873095681,4104,19432
843604394117681152,2448,15321
843235543001513987,5299,19454
842846295480000512,3251,13847
842765311967449089,1159,6132
842535590457499648,3110,16410
842163532590374912,5169,22147
842115215311396866,2705,12700
841833993020538882,13357,0
841680585030541313,7030,23367
841439858740625411,3245,11398
841320156043304961,4939,17926
841314665196081154,4167,14352
841077006473256960,4805,20680
840761248237133825,1591,0
840728873075638272,14397,0
840698636975636481,2,157
840696689258311684,876,11170
840632337062862849,1591,8200
840370681858686976,4095,14916
840268004936019968,5121,17440
839990271299457024,2030,12189
839549326359670784,6959,24939
839239871831150596,5836,24624
838952994649550848,3606,17896
838921590096166913,1822,10131
838916489579200512,29,0
838831947270979586,9845,0
838561493054533637,1211,9933
838476387338051585,4290,20475
838201503651401729,9043,0
838150277551247360,297,1541
838085839343206401,0,128
838083903487373313,2805,16055
837820167694528512,7044,31011
837482249356513284,398,3499
837471256429613056,2036,11659
837110210464448512,2144,14646
836989968035819520,2078,11629
836753516572119041,4189,17653
836677758902222849,1987,11525
836648853927522308,499,0
836397794269200385,24687,0
836380477523124226,2702,13496
836260088725786625,3913,19377
836001077879255040,3835,17420
835685285446955009,7293,0
835574547218894849,3247,16205
835536468978302976,1520,0
835309094223372289,18806,0
835297930240217089,2693,14977
835264098648616962,1520,7037
835246439529840640,63,1948
835172783151792128,5214,23899
835152434251116546,2712,20429
834931633769889797,1466,9835
834786237630337024,5016,19632
834574053763584002,2274,12474
834477809192075265,9594,0
834458053273591808,1519,8800
834209720923721728,4261,18756
834167344700198914,3300,14404
834089966724603904,1935,9194
834086379323871233,2002,11906
833863086058651648,2169,12280
833826103416520705,3434,16654
833732339549220864,199,0
833722901757046785,2952,19108
833479644947025920,1852,13648
833124694597443584,4362,18458
832998151111966721,1963,12100
832769181346996225,37,0
832757312314028032,3260,15400
832682457690300417,2614,10862
832645525019123713,476,2655
832636094638288896,2507,14484
832397543355072512,2001,10909
832369877331693569,2861,15620
832273440279240704,2101,10334
832215909146226688,5618,0
832215726631055365,8442,0
832088576586297345,2,56
832040443403784192,8663,0
832032802820481025,4210,16241
831939777352105988,5558,21882
831926988323639298,34,310
831911600680497154,5869,25175
831670449226514432,1662,9510
831650051525054464,1763,6495
831552930092285952,2119,8240
831322785565769729,1411,8504
831315979191906304,1018,6023
831309418084069378,2218,10777
831262627380748289,1859,10856
830956169170665475,1360,7302
830583320585068544,15168,60910
830173239259324417,5151,0
830097400375152640,2645,8910
829878982036299777,4514,0
829861396166877184,1764,11185
829501995190984704,9594,29104
829449946868879360,1831,9623
829141528400556032,6660,22323
829011960981237760,14712,48614
828801551087042563,3101,0
828770345708580865,5289,23406
828708714936930305,10134,33352
828650029636317184,1214,8694
828409743546925057,1062,5876
828408677031882754,1165,7067
828381636999917570,2024,11530
828376505180889089,973,6809
828372645993398273,2675,11544
828361771580813312,163,2015
828046555563323392,2609,10770
828011680017821696,1959,9482
827933404142436356,4746,18372
827653905312006145,2743,14161
827600520311402496,856,6880
827324948884643840,2759,14565
827199976799354881,2022,9734
826958653328592898,4514,19764
826848821049180160,9183,33141
826615380357632002,3614,0
826598799820865537,225,4718
826598365270007810,2147,9209
826476773533745153,3829,16908
826240494070030336,2380,12170
826204788643753985,842,4479
826115272272650244,2819,14359
825876512159186944,1712,9649
825829644528148480,2294,11697
825535076884762624,15956,52165
825147591692263424,4107,16792
825120256414846976,1155,0
825026590719483904,1155,5755
824796380199809024,5012,0
824775126675836928,3216,13702
824663926340194305,1622,9683
824325613288833024,9661,10887
824297048279236611,3512,13882
824025158776213504,544,4412
823939628516474880,2487,9769
823719002937630720,10172,0
823699002998870016,2278,12736
823581115634085888,2403,11904
823333489516937216,21,643
823322678127919110,3655,14434
823269594223824897,9072,0
822975315408461824,3138,15922
822872901745569793,39172,120663
822859134160621569,2076,12107
822647212903690241,5856,0
822610361945911296,2674,13605
822489057087389700,5856,16688
822462944365645825,12948,25788
822244816520155136,9072,32244
822163064745328640,4299,0
821886076407029760,2109,10385
821813639212650496,3069,0
821765923262631936,1539,7689
821522889702862852,1614,7379
821421320206483457,5048,0
821407182352777218,3938,10848
821153421864615936,8,228
821149554670182400,1797,7906
821107785811234820,1935,8803
821044531881721856,2084,11612
820837357901512704,6125,0
820749716845686786,9043,29014
820690176645140481,2959,11299
820494788566847489,517,0
820446719150292993,2358,0
820314633777061888,517,3075
820078625395449857,5681,18196
820013781606658049,1066,0
819952236453363712,1066,4893
819924195358416896,4469,11937
819711362133872643,2809,12277
819588359383371776,1837,8889
819347104292290561,1101,6660
819238181065359361,373,2070
819227688460238848,6125,21230
819015337530290176,33915,0
